time,C,D,G,L,Y
0,0.847573041,0.002966812,0.000930184,0.145855679,0.002674285
1,0.826419803,0.028994323,0.000650007,0.124233553,0.019702314
2,0.561662882,0.240269533,0.00038703,0.092901469,0.104779086
3,0.189421335,0.686109196,0.010671929,0.031357987,0.082439553
4,0.09599073,0.694262445,0.127890463,0.015890903,0.06596546
5,0.065566138,0.604438514,0.223986652,0.004065075,0.101943621
6,0.05376021,0.440415057,0.264016537,0.004258889,0.237549307
7,0.248556927,0.298749924,0.314173964,0.005229035,0.13329015
8,0.476673178,0.160271305,0.202905099,0.02165311,0.138497309
9,0.780469051,0.061897396,0.097049335,0.006119584,0.054464635
10,0.82493032,0.02804251,0.065418549,0.037152887,0.044455734
