year,hare_abs,lynx_abs,sum,hare_rel,lynx_rel
0,56.6,3.52,60.12,0.941450432,0.058549568
1,69.63,9.94,79.57,0.875078547,0.124921453
2,77.74,20.3,98.04,0.792941656,0.207058344
3,80.53,31.99,112.52,0.715694988,0.284305012
4,73.38,42.36,115.74,0.634007258,0.365992742
5,36.93,49.08,86.01,0.429368678,0.570631322
6,4.64,53.99,58.63,0.079140372,0.920859628
7,2.54,52.25,54.79,0.046358825,0.953641175
8,1.8,37.7,39.5,0.04556962,0.95443038
9,2.39,19.14,21.53,0.111007896,0.888992104
10,4.23,6.98,11.21,0.377341659,0.622658341
11,19.52,8.31,27.83,0.701401365,0.298598635
12,82.11,16.01,98.12,0.83683245,0.16316755
13,89.76,24.82,114.58,0.783382789,0.216617211
14,81.66,29.7,111.36,0.733297414,0.266702586
15,15.76,35.4,51.16,0.308053167,0.691946833
